CustomerID,Gender,Age,Region,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn,JoinDate,LastActivityDate,Feedback
CUST1000,Male,26,south ,38,46895.21,3,1,Inactive,86651.81,No,15-01-2020,Aug 5 2023,Good
CUST1001,Female,30,South,4,21995.91,3,Yes,0,97182.13,No,15-01-2020,Aug 5 2023,Average
CUST1002,Male,32,West,44,84972,3,0,Active,103279.29,No,March 3 2022,Aug 5 2023,Bad
CUST1003,F,79,East,51,36345.65,1,0,1,100423.17,0,March 3 2022,10-07-2023, poor
CUST1004,F,23,South,44,48676.57,3,1,0,103800.25,No,15-01-2020,10-06-2023, poor
CUST1005,F,40,south ,55,83161.67,1,1,Active,44587.59,0,15-02-2021,10-06-2023,excellent 
CUST1006,Male,58,NORTH,29,48676.57,2,0,1,140755.75,0,15-01-2020,Aug 5 2023,Good
CUST1007,M,54,south ,24,21138.41,2,1,1,77992.33,No,March 3 2022,10-06-2023,Good
CUST1008,Female,34,West,16,48676.57,2,0,0,116142.75,0,March 3 2022,10-06-2023,Good
CUST1009,M,19,NORTH,25,84043.32,2,0,1,87220.76,0,March 3 2022,10-07-2023,Bad
CUST1010,Male,75,NORTH,25,69979.75,2,0,Active,146344.45,0,15-01-2020,10-07-2023,Bad
CUST1011,M,72,East,24,16293.04,2,Yes,1,120568.09,No,15-01-2020,Aug 5 2023, poor
CUST1012,M,48,East,44,84791.96,1,0,1,85065.88,0,15-01-2020,Aug 5 2023,Average
CUST1013,M,70,south ,35,95945.21,2,1,0,135510.74,0,15-02-2021,Aug 5 2023,Average
CUST1014,Female,69,NORTH,1,55100.34,2,1,Active,146986.27,0,15-01-2020,10-07-2023,Bad
CUST1015,F,79,south ,29,48676.57,4,No,0,37481.54,No,March 3 2022,Aug 5 2023,Good
CUST1016,M,66,South,27,67076.91,2,Yes,Inactive,24174.65,No,15-01-2020,10-06-2023,Good
CUST1017,M,41,South,3,44853.79,1,No,Active,87220.76,0,15-01-2020,10-06-2023, poor
CUST1018,Male,31,South,29,13300.53,3,0,1,36820.59,0,15-01-2020,Aug 5 2023,Average
CUST1019,Male,61,south ,38,81773.21,2,No,Inactive,107503.41,No,15-02-2021,10-06-2023,Good
CUST1020,Female,52,South,45,84215.87,2,1,1,38664.43,0,March 3 2022,Aug 5 2023,Good
CUST1021,Male,49,south ,58,43597.91,1,1,Active,41165.91,0,15-01-2020,10-06-2023, poor
CUST1022,M,68,south ,20,43279.48,1,1,1,87220.76,0,15-01-2020,Aug 5 2023,Bad
CUST1023,F,64,North,39,91754.96,1,Yes,1,62813.91,0,15-02-2021,Aug 5 2023, poor
CUST1024,Female,78,West,10,59055.71,2,Yes,0,103508.44,0,15-01-2020,Aug 5 2023,Average
CUST1025,M,62,south ,16,35440.57,3,0,1,147463.78,No,15-01-2020,Aug 5 2023, poor
CUST1026,F,29,south ,25,5586.22,2,No,Inactive,87964.21,0,March 3 2022,Aug 5 2023,Average
CUST1027,Female,39,south ,36,7837.7,1,0,0,89257.14,No,March 3 2022,10-07-2023,Average
CUST1000,Male,22,south ,46,48676.57,2,1,Inactive,87220.76,0,15-01-2020,Aug 5 2023,excellent 
CUST1029,Female,78,south ,56,37640.98,4,0,0,120069.96,No,15-02-2021,Aug 5 2023,Good
CUST1030,F,48,East,29,66627.29,2,Yes,Active,95331.01,No,March 3 2022,Aug 5 2023,Good
CUST1031,M,31,south ,57,86722.4,2,1,0,81222.61,0,15-02-2021,10-06-2023,Good
CUST1032,Male,59,South,54,61890.31,3,1,Active,135534.73,0,15-02-2021,10-07-2023,Average
CUST1033,Male,30,West,22,82305.19,2,0,0,61206.04,No,March 3 2022,Aug 5 2023, poor
CUST1034,F,56,NORTH,38,83061.73,2,1,Active,129382.33,0,March 3 2022,Aug 5 2023,Bad
CUST1035,Male,24,NORTH,4,60698.21,2,Yes,Inactive,69032.61,0,March 3 2022,10-06-2023,Good
CUST1036,Female,30,NORTH,4,77019.86,3,No,0,85654.64,1,15-02-2021,Aug 5 2023,Good
CUST1037,M,42,South,37,52388.3,2,0,Active,130061.16,0,15-01-2020,Aug 5 2023,excellent 
CUST1038,M,75,south ,48,84155.09,2,1,0,87220.76,0,March 3 2022,Aug 5 2023, poor
CUST1039,Male,37,North,16,31415.42,3,No,Active,87220.76,0,15-01-2020,10-07-2023,Good
CUST1040,Male,61,south ,6,3865.82,2,1,0,32997.38,0,15-01-2020,Aug 5 2023,Good
CUST1041,Male,20,South,38,8091.69,1,Yes,1,134585.25,No,15-01-2020,10-06-2023,Good
CUST1042,F,56,south ,38,59313.44,1,1,Active,126601.14,0,15-01-2020,Aug 5 2023,Average
CUST1043,F,58,south ,15,4882.13,3,No,0,87220.76,0,March 3 2022,10-06-2023,excellent 
CUST1044,Male,73,NORTH,13,33418.52,1,1,Inactive,111119.46,1,15-01-2020,10-06-2023,Good
CUST1045,Male,45,East,27,72469.68,3,Yes,0,101689.93,0,15-02-2021,Aug 5 2023,Good
